Epoch,Loops,Broken,Success,NumPeers,Started,StopPending,MeanHops
1,0,9898,2,11,11,0,1.00
2,0,9888,12,15,15,0,1.00
3,0,9842,58,25,25,0,1.21
4,0,9778,122,32,32,0,1.39
5,0,9695,205,35,35,0,1.86
6,0,9641,259,43,43,0,1.79
7,0,9448,452,46,46,0,2.41
8,0,9183,717,50,50,0,3.14
9,0,8752,1148,53,53,0,3.83
10,0,8250,1650,60,60,0,4.55
11,0,7643,2257,63,63,0,4.80
12,0,7183,2717,67,67,0,4.91
13,0,6672,3228,71,71,0,4.95
14,0,5974,3926,71,71,0,5.16
15,0,5469,4431,73,73,0,5.22
16,0,5237,4663,74,74,0,5.27
17,0,4865,5035,76,76,0,5.24
18,0,4653,5247,77,77,0,5.29
19,0,4427,5473,77,77,0,5.37
20,0,4364,5536,77,77,0,5.38
21,0,4360,5540,77,77,0,5.38
22,0,4206,5694,82,82,0,5.27
23,0,3906,5994,83,83,0,5.22
24,0,3480,6420,85,85,0,5.08
25,0,3294,6606,86,86,0,5.06
26,0,3072,6828,86,86,0,5.07
27,0,2899,7001,87,87,0,5.03
28,0,2791,7109,88,88,0,5.04
29,0,2532,7368,89,89,0,4.99
30,0,2301,7599,91,91,0,5.03
31,0,2147,7753,91,91,0,5.05
32,0,1902,7998,93,93,0,5.06
33,0,1668,8232,95,95,0,5.03
34,0,1259,8641,95,95,0,5.12
35,0,1107,8793,96,96,0,5.12
36,0,906,8994,96,96,0,5.19
37,0,810,9090,96,96,0,5.21
38,0,790,9110,96,96,0,5.23
39,0,780,9120,96,96,0,5.23
40,0,637,9263,98,98,0,5.21
41,0,588,9312,98,98,0,5.22
43,0,491,9409,98,98,0,5.20
45,0,424,9476,98,98,0,5.21
46,0,395,9505,98,98,0,5.22
47,0,363,9537,99,99,0,5.21
48,0,308,9592,99,99,0,5.20
49,0,236,9664,99,99,0,5.19
50,0,236,9664,99,99,0,5.19
52,0,200,9700,99,99,0,5.20
74,0,198,9702,99,99,0,5.20
75,0,185,9715,100,100,0,5.19
76,0,121,9779,100,100,0,5.20
78,0,53,9847,100,100,0,5.21
80,0,15,9885,100,100,0,5.22
91,0,0,9900,100,100,0,5.23
