Epoch,Loops,Broken,Success,NumPeers,Started,StopPending,MeanHops
1,0,39788,12,18,18,0,1.00
2,0,39763,37,30,30,0,1.00
3,0,39678,122,43,43,0,1.40
4,0,39569,231,57,57,0,1.44
5,0,39248,552,66,66,0,2.28
6,0,38896,904,78,78,0,2.96
7,0,38410,1390,90,90,0,3.26
8,0,37782,2018,97,97,0,3.77
9,0,36523,3277,108,108,0,4.97
10,0,35162,4638,118,118,0,5.49
11,0,32729,7071,128,128,0,6.19
12,0,30706,9094,134,134,0,6.66
13,0,27386,12414,144,144,0,7.05
14,0,24691,15109,147,147,0,7.36
15,0,21685,18115,149,149,0,7.82
16,0,20181,19619,152,152,0,8.00
17,0,18633,21167,155,155,0,8.24
18,0,17613,22187,160,160,0,8.28
19,0,16379,23421,160,160,0,8.29
20,0,15429,24371,161,161,0,8.22
21,0,14899,24901,162,162,0,8.09
22,0,14141,25659,167,167,0,8.06
23,0,13493,26307,170,170,0,8.01
24,0,12356,27444,171,171,0,7.97
25,0,11408,28392,177,177,0,7.95
26,0,10533,29267,179,179,0,7.91
27,0,9455,30345,181,181,0,7.83
28,0,8469,31331,182,182,0,7.87
29,0,7614,32186,183,183,0,7.84
30,0,7093,32707,186,186,0,7.81
31,0,6484,33316,186,186,0,7.80
32,0,5925,33875,188,188,0,7.80
33,0,5209,34591,191,191,0,7.83
34,0,4437,35363,192,192,0,7.86
35,0,3883,35917,193,193,0,7.86
36,0,3573,36227,193,193,0,7.86
37,0,3275,36525,193,193,0,7.85
38,0,3109,36691,193,193,0,7.88
39,0,2898,36902,193,193,0,7.90
40,0,2674,37126,195,195,0,7.87
41,0,2458,37342,195,195,0,7.87
42,0,2231,37569,196,196,0,7.84
43,0,2119,37681,196,196,0,7.84
44,0,1894,37906,196,196,0,7.84
45,0,1891,37909,196,196,0,7.84
46,0,1756,38044,196,196,0,7.85
47,0,1754,38046,197,197,0,7.85
48,0,1476,38324,197,197,0,7.84
49,0,1296,38504,198,198,0,7.82
50,0,1157,38643,198,198,0,7.81
51,0,1038,38762,198,198,0,7.79
52,0,1013,38787,198,198,0,7.80
53,0,747,39053,199,199,0,7.78
54,0,681,39119,199,199,0,7.78
55,0,529,39271,199,199,0,7.78
56,0,528,39272,199,199,0,7.78
74,0,398,39402,199,199,0,7.79
75,0,372,39428,200,200,0,7.79
76,0,290,39510,200,200,0,7.78
77,0,150,39650,200,200,0,7.78
78,0,148,39652,200,200,0,7.78
79,0,98,39702,200,200,0,7.77
80,0,98,39702,200,200,0,7.77
81,0,45,39755,200,200,0,7.77
82,0,45,39755,200,200,0,7.77
83,0,8,39792,200,200,0,7.78
84,0,8,39792,200,200,0,7.78
95,0,0,39800,200,200,0,7.78
