Epoch,Loops,Broken,Success,NumPeers,Started,StopPending,MeanHops
1,0,2450,0,6,6,0,0.00
2,0,2444,6,9,9,0,1.00
3,0,2400,50,17,17,0,1.36
4,0,2386,64,19,19,0,1.45
5,0,2292,158,22,22,0,2.35
6,0,2203,247,27,27,0,2.36
7,0,2150,300,28,28,0,2.51
8,0,2117,333,30,30,0,2.54
9,0,2101,349,31,31,0,2.50
10,0,2064,386,33,33,0,2.46
11,0,2040,410,35,35,0,2.48
12,0,1930,520,38,38,0,2.40
13,0,1736,714,39,39,0,2.85
14,0,1634,816,39,39,0,3.11
15,0,1488,962,39,39,0,3.53
16,0,1451,999,40,40,0,3.44
17,0,1403,1047,41,41,0,3.52
18,0,1361,1089,42,42,0,3.53
19,0,1345,1105,42,42,0,3.56
21,0,1323,1127,42,42,0,3.61
22,0,1255,1195,44,44,0,3.51
23,0,1225,1225,44,44,0,3.53
24,0,1001,1449,45,45,0,3.56
25,0,698,1752,45,45,0,3.89
26,0,490,1960,45,45,0,4.19
27,0,434,2016,46,46,0,4.17
28,0,418,2032,46,46,0,4.18
30,0,385,2065,46,46,0,4.19
32,0,380,2070,46,46,0,4.20
33,0,289,2161,48,48,0,3.90
34,0,264,2186,48,48,0,3.92
39,0,194,2256,48,48,0,3.95
40,0,85,2365,50,50,0,3.83
41,0,80,2370,50,50,0,3.84
43,0,13,2437,50,50,0,3.78
53,0,0,2450,50,50,0,3.79
